cod_mun,nome_mun_rqual,uf_rqual,kmeans_cluster,lof_score,lof_outlier,shap_dominante,shap_dominante_valor
2608453,Lagoa do Carro,PE,2,1.0818545671032984,False,lat,0.27072684367475786
2608503,Lagoa de Itaenga,PE,2,0.9755765063132168,False,lat,0.30069170026349934
2608602,Lagoa do Ouro,PE,2,1.1192529452508635,False,lat,0.19562579736467348
2608701,Lagoa dos Gatos,PE,2,1.0203482905104182,False,idhm,0.3089839600714899
2608750,Lagoa Grande,PE,2,1.1610876544310813,False,lat,0.2737334468956997
2608800,Lajedo,PE,2,1.1071168361162695,False,lat,0.224125239648436
2608909,Limoeiro,PE,2,1.1090563898141206,False,lon,0.21645581124154764
2609006,Macaparana,PE,2,1.1112629384389565,False,lat,0.2120067141150876
2609105,Machados,PE,2,1.0432112823402435,False,lat,0.20781831605677747
2609154,Manari,PE,2,1.3504767076388342,True,idhm,0.23421294149096647
2609204,Maraial,PE,2,1.0134309950995972,False,lat,0.20390170167550298
2609303,Mirandiba,PE,2,0.9777009167357578,False,lat,0.2148349453053985
2609402,Moreno,PE,2,1.0258940557328204,False,lat,0.35667208039140846
2609501,Nazaré da Mata,PE,2,1.0707738752789644,False,lat,0.4560517511837326
2609600,Olinda,PE,0,1.1995781696549952,False,densidade,0.26750872580402063
2609709,Orobó,PE,2,1.3922631992522565,True,lat,0.2490162732686085
2609808,Orocó,PE,2,1.1044242604878796,False,lat,0.20007458055804347
2609907,Ouricuri,PE,2,0.9943060247532551,False,lat,0.19799774224183675
2610004,Palmares,PE,2,0.9772907370081934,False,lat,0.24890663013999398
2610103,Palmeirina,PE,2,1.0531968563773793,False,idhm,0.2742364852488309
2610202,Panelas,PE,2,1.002859565032367,False,lat,0.19382300426673302
2610301,Paranatama,PE,2,1.3737176119269556,True,lat,0.25143277804833314
2610400,Parnamirim,PE,2,1.0184530742156852,False,lat,0.20505872430093666
2610509,Passira,PE,2,1.0346420115670791,False,idhm,0.23228381104079815
2610608,Paudalho,PE,2,1.1819757851065196,False,lat,0.3063635398705579
2610707,Paulista,PE,0,1.7048771027960012,True,densidade,0.3133113154948662
2610806,Pedra,PE,2,1.0644666368711355,False,lat,0.21071501604283008
2610905,Pesqueira,PE,2,1.0077798482256424,False,lat,0.21950976305663944
2611002,Petrolândia,PE,2,1.1319421405295267,False,lat,0.28135296960017075
2611101,Petrolina,PE,2,1.6696919189226338,True,lat,0.3633687935444102
2611200,Poção,PE,2,1.0725780643311347,False,lat,0.19419187302217292
2611309,Pombos,PE,2,1.0097101149699568,False,lat,0.2689224471707566
2611408,Primavera,PE,2,0.9898852346276505,False,lat,0.2642705504019902
2611507,Quipapá,PE,2,0.9943891315622851,False,lat,0.19712449097156318
2611533,Quixaba,PE,2,1.0342136253422334,False,lat,0.22930122232976427
2611606,Recife,PE,4,0.9934472904285403,False,pib_industria,0.13241807778721884
2611705,Riacho das Almas,PE,2,1.041341763898213,False,lat,0.190478973315756
2611804,Ribeirão,PE,2,1.0050038844057707,False,lat,0.22839088117597503
2611903,Rio Formoso,PE,2,1.1317148159187835,False,idhm,0.22661581874850145
2612000,Sairé,PE,2,0.9660213417211372,False,lat,0.28138343807469113
2612109,Salgadinho,PE,2,1.0367617958649804,False,idhm,0.28678965302620263
2612208,Salgueiro,PE,2,1.0505872148170456,False,lat,0.3496484217849291
2612307,Saloá,PE,2,1.2015319070689874,False,idhm,0.3072854220489238
2612406,Sanharó,PE,2,1.0957512731677213,False,lat,0.21004133406430808
2612455,Santa Cruz,PE,2,1.0613617672071627,False,idhm,0.18745105376191
2612471,Santa Cruz da Baixa Verde,PE,2,1.126507847204206,False,lat,0.20697470035810467
2612505,Santa Cruz do Capibaribe,PE,2,1.0297837143557964,False,lat,0.42634478994031255
2612554,Santa Filomena,PE,2,1.2495239097757211,False,lat,0.20387766739106308
2612604,Santa Maria da Boa Vista,PE,2,1.0880958139464387,False,lat,0.19217395203046175
2612703,Santa Maria do Cambucá,PE,2,1.1146646071814454,False,lat,0.1933609842677955
2612802,Santa Terezinha,PE,2,1.0507939048846813,False,lat,0.21876903246325638
2612901,São Benedito do Sul,PE,2,1.15337174795769,False,idhm,0.26784647824410757
2613008,São Bento do Una,PE,2,1.6992145084591006,True,lat,0.24533759570068164
2613107,São Caitano,PE,2,1.0115101117603404,False,lat,0.21224519009867693
2613206,São João,PE,2,1.0104897293866473,False,lat,0.23446512627137495
2613305,São Joaquim do Monte,PE,2,0.9969551302818644,False,lat,0.19865865312477293
2613404,São José da Coroa Grande,PE,2,1.054641344064563,False,lat,0.23970117228693955
2613503,São José do Belmonte,PE,2,1.0619548627185385,False,lat,0.20388740899617358
2613602,São José do Egito,PE,2,1.059113661419064,False,lat,0.27900430267389975
2613701,São Lourenço da Mata,PE,2,1.1322438693880366,False,lat,0.3230122748275456
2613800,São Vicente Ferrer,PE,2,1.4905378601175148,True,lat,0.20251781829094284
2613909,Serra Talhada,PE,2,1.0216033058061131,False,lat,0.4143890994111387
