cod_mun,nome_mun_rqual,uf_rqual,kmeans_cluster,lof_score,lof_outlier,IND2,IND4,IND5,IND8,IND9,INF1,INF4-UP,pib_agropecuaria,pib_industria,pib_per_capita,area_km2,densidade,pop_rural,idhm
5006358,Paranhos,MS,1,1.2917723333139297,True,0.012899112579205008,0.5181309399408607,-1.5182242840778724,-4.20162937971753,-0.8014379740583225,0.5399394208050095,-0.6714610308718475,0.019603951269691444,-0.16392257867217033,-0.32603051559061474,-0.038973246078098524,-0.17834674572486792,0.3891587074252427,-0.9891334885262549
4117909,Palotina,PR,1,1.291297778668995,True,-0.1660193037133846,0.09115790512899777,0.8000313792475638,0.36470288900872266,1.1068372484512259,0.7088744324057848,-0.6656267554662876,1.4293027041448128,0.1822761036956082,1.2662876372461642,-0.1559768475955231,-0.10461304641553679,-0.2892107901868354,1.51071585984867
3506409,Bilac,SP,1,1.2906680364293222,True,-0.7747703980960258,0.7015274354705172,0.4444967996227524,-0.6355275258375767,1.170193926724068,-1.1515089960187546,-0.6976945096790415,0.0781562505826004,-0.1641570339266984,0.043472274835287754,-0.24396548121705097,-0.11711769020084391,-0.7494301815943931,1.51071585984867
4107256,Douradina,PR,1,1.2900084882491616,True,0.12524023623080083,0.8761396230484558,0.791871605760171,0.6057311591155213,0.7084660775566093,-0.7260085209910188,3.131133164894432,-0.28027047556032975,-0.12543548025582765,1.4251404860771058,-0.1971216887223131,-0.15836284591205854,-0.502864810113439,0.8996415746903548
5000252,Alcinópolis,MS,1,1.289916896386758,True,1.6523545162776878,0.9571099048207727,-0.6911205399452086,0.08359922343978032,0.5902317303650431,-0.39706533509299885,-0.517723579809936,0.07460510353481721,-0.1648928955147516,0.22527094345877274,0.5123552084606988,-0.19323802851220948,-0.5440489604191563,0.7190968995299434
4314779,Pontão,RS,1,1.288618919218694,True,0.06388231283258339,1.3524287502827321,1.1531572208208896,0.45774176681822504,0.0019311394232336947,-1.2542858360696858,0.19422558373285717,0.7474568755961472,-0.1636705060591055,1.6606580430888025,-0.18247425087396854,-0.1839435822578078,-0.539912561043473,0.9135296266257711
4107009,Curiúva,PR,1,1.2884778384540017,True,-0.4774438990320322,-1.7031460920680639,0.1219527289037036,-1.0064497403791106,0.08817414303552017,-0.5096810853634367,0.5286632549694545,-0.11524902005761677,-0.16097681723046947,-0.37738235498553346,-0.16935230161999945,-0.15516945569806884,-0.23885462387416787,-0.04474595691794929
5006259,Novo Horizonte do Sul,MS,1,1.2875559261597802,True,-0.5276252346517447,0.2634333543328106,-0.18145408772087818,0.38641994019417625,0.6313457715001518,1.5610443031008407,-0.17519265725133618,0.22785706843194847,-0.16206221150189434,1.080339474470122,-0.12066243779154658,-0.18562431394938134,-0.5508830115615898,-0.1419623204658631
4316428,Sagrada Família,RS,1,1.2869727712951133,True,-0.08507848535624535,1.3524287502827321,0.8181517677190935,-0.18299279389897752,0.9614078987457968,-1.1948372281738804,0.1965491406901978,-0.2815559804481193,-0.16787030422975396,-0.050310588061076675,-0.25826165172329224,-0.14145468509482875,-0.5805571809958403,0.2607911856612084
4112900,Jundiaí do Sul,PR,1,1.2868258670226704,True,1.6013010552845033,-2.086510765474637,-0.04986278449626272,-0.5970572039617701,-0.010169512538902262,-1.3644550703832163,-0.7254444018392532,-0.10739829748409792,-0.16701436839930092,0.13265919714094485,-0.21492375349316264,-0.17750637987908116,-0.6066344814077574,0.39967170501536947
4300471,Almirante Tamandaré do Sul,RS,1,1.286513879371058,True,1.0586418968132711,-0.2814882128328203,0.8331958818189438,0.6770080451406126,0.28658246689195355,-0.3550525490949402,1.472783512760297,0.2113958687911228,-0.15581576886362247,2.600333542940359,-0.2248737711358588,-0.18248134568613883,-0.6577100215248916,1.1218504056570149
4115754,Mauá da Serra,PR,1,1.2863791060955836,True,0.00531920552889466,0.7531404906288669,0.923785861851669,-1.4707163313707488,1.0388584498007298,-0.412707203413259,-0.541176976515908,-0.11112513365607683,-0.12907105143099215,0.002908165781778017,-0.2528320826237932,-0.049384203030430306,-0.6199428967903909,-0.10029816465961433
3536307,Patrocínio Paulista,SP,1,1.2861419269299101,True,-0.27450411647445255,0.7844772639564398,-0.03916242829635075,-0.12126267949662416,0.8959827669357721,-1.1925229815795575,-0.6335727113366783,1.205802992791889,0.013299950591470178,1.3650508475808365,-0.16460956810561864,-0.15451397033835512,-0.45412723486082146,0.9829698863028523
4217105,São Martinho,SC,1,1.2858866739709183,True,-0.08241660704242956,-3.54076163848712,0.30703297856835754,-0.30375220231874045,-0.5903604470903269,-0.812157280758828,-0.727273281338995,-0.29353837841081254,-0.16442322386096786,0.016213271816658808,-0.2320946431211166,-0.16948928971027538,-0.4485520878762047,1.1496265095278475
3150158,Piedade de Caratinga,MG,1,1.2858551025571199,True,-0.8644400538867889,1.0101820624863325,1.0939834100857417,0.4714497456060385,-1.5072431650883082,-0.3221730833755184,0.1148760405481812,-0.2795599008097218,-0.16585294658908875,-0.4278763777341933,-0.25264993739459696,-0.06387211021179422,-0.3026990490205856,-0.6558202420762647
4314605,Piratini,RS,1,1.2852922033369054,True,-0.25802473876527393,0.4071531100990107,0.36761560455823794,-1.0338279429798733,-4.166155319285168,0.1288045434057313,-0.39904325279202774,1.722364220973797,-0.14668443132109382,0.20439223510059354,0.3590717025453602,-0.1866495602812412,0.2857487230331576,-0.016969853047116772
4120200,Porto Rico,PR,1,1.2839314005505749,True,-0.5441501145543217,0.07611955756007963,0.6584362136450032,0.20389972623134814,1.4360268055160963,-0.24215990849189944,-0.6586167020276406,-0.37187375307368303,-0.16537588979983814,0.2066628841147243,-0.23332381122019819,-0.1703968848237251,-0.7129219610177092,1.0524101459799335
5220280,São Patrício,GO,1,1.2838075308876917,True,-0.41889015982698463,0.3823836131925512,-0.2150145191396356,0.5537480394921926,1.0857716564549722,-1.4311698087432698,-0.6890056133195873,-0.35184591620837746,-0.1678523117322267,-0.18302854353139333,-0.24133623891744804,-0.17412810917901833,-0.6999732325373089,0.46911196469245076
