cod_mun,nome_mun_rqual,uf_rqual,kmeans_cluster,hdbscan_cluster,hdbscan_noise,perfil_hdbscan,IND2,IND4,IND5,IND8,IND9,INF1,INF4-UP
4106704,Cruzeiro do Sul,PR,1,-1,True,C1-intermediário,-0.38300409663332,0.48102129239445235,0.26766207626489774,0.5046498870981835,-2.2987639453905198,0.11974561510090911,-0.6937056136357567
4106803,Cruz Machado,PR,1,-1,True,C1-intermediário,-0.6154520516098663,0.07826007724588034,0.619022795489033,-2.087416440554448,-0.5097301328131214,1.4556068368772463,0.3915730529102609
4106852,Cruzmaltina,PR,1,-1,True,C1-intermediário,0.3959252010599374,-3.6727542151309454,0.06251894953359263,-0.21869682095634613,0.26210647093524736,-1.3829287252868379,1.819407553912591
4106902,Curitiba,PR,4,-1,True,C4-capitais,-0.9595699728853794,0.3321691641629747,0.8183155016528593,0.4043309288560567,0.3254575039322567,-0.48075624762487834,1.6177723167388354
4107009,Curiúva,PR,1,-1,True,C1-intermediário,-0.4774438990320322,-1.7031460920680639,0.1219527289037036,-1.0064497403791106,0.08817414303552017,-0.5096810853634367,0.5286632549694545
4107108,Diamante do Norte,PR,1,-1,True,C1-intermediário,1.1142801251079661,-1.889287661913657,0.5218599646668283,0.02664304290496887,-0.7299165917146144,1.3235826862651026,-0.6932664133475352
4107124,Diamante do Sul,PR,1,-1,True,C1-intermediário,0.6575855641983592,-0.028876935691538638,-0.21819057875344872,-0.021475550580514247,-0.871840825481196,1.8789481702420154,-0.592971781835519
4107157,Diamante D'Oeste,PR,1,-1,True,C1-intermediário,-0.14059116130248905,-0.5000774682461833,0.2748788771835834,-0.16606882200688586,-0.9993296783787871,1.2750412736392727,1.3402020463584474
4107207,Dois Vizinhos,PR,1,-1,True,C1-intermediário,-0.7225566311711776,0.29001037781592487,0.41975434806250445,0.5542921097143686,0.6102024692347081,0.18995006795839195,-0.5706150470454653
4107256,Douradina,PR,1,-1,True,C1-intermediário,0.12524023623080083,0.8761396230484558,0.791871605760171,0.6057311591155213,0.7084660775566093,-0.7260085209910188,3.131133164894432
4107306,Doutor Camargo,PR,1,-1,True,C1-intermediário,0.1087267318765732,0.0344822675303536,0.31325584875259777,-0.05205074700799904,-0.1937159904149982,-0.10833233366907775,-0.7015983011682073
4107405,Enéas Marques,PR,1,-1,True,C1-intermediário,1.1749000009465929,-0.4563911337309061,-0.329043317768712,-0.02366485195308831,-1.303504278450291,0.5155769914623717,-0.6843805860629991
4107504,Engenheiro Beltrão,PR,1,-1,True,C1-intermediário,-0.03443454410364768,0.8747055958517285,0.20774083463211954,0.3693372512600295,-0.5634528185171147,0.23227772485189252,-0.722175113287483
4107520,Esperança Nova,PR,1,-1,True,C1-intermediário,-0.14323028851960568,0.5119954381550386,0.2195263743773842,-0.3605191208190489,0.3567548613378688,1.0237653271507192,-0.6879367406458304
4107538,Entre Rios do Oeste,PR,1,-1,True,C1-intermediário,-0.4651203883199221,0.6805820862394466,1.0197216288950748,0.535766441147123,-0.9965618097807887,1.7816278754145543,0.4693351551757822
4107546,Espigão Alto do Iguaçu,PR,1,-1,True,C1-intermediário,1.0787685875932993,-1.6268543722468245,0.01582282233310502,-0.7553737997462325,-0.677138273854517,1.31516096257442,-0.6662335596212946
4107553,Farol,PR,1,-1,True,C1-intermediário,0.6296017152582444,-0.609314405203571,0.14988123514641663,0.28130278317006646,-0.06110408459126167,-0.5426892481147056,-0.7144650459440796
4107603,Faxinal,PR,1,-1,True,C1-intermediário,-0.28346804857396896,0.6339110716691998,0.43573876594409894,0.0016587492816653542,0.7084674114094962,-0.3379859257921312,-0.7016552908249833
4107652,Fazenda Rio Grande,PR,0,-1,True,C0-ruído,-0.7654955343416192,-0.20768789169232194,0.5998281380342437,-0.6137122630016987,0.1000551325788466,-0.7094578171856237,-0.4752613717368589
4107702,Fênix,PR,1,-1,True,C1-intermediário,0.24801898311811071,-2.1859327495364274,0.39743648889927435,0.24840188030003188,0.36534686658214516,-0.09997591991273759,-0.43581335927504
