pair_rank_global,cluster_id,cluster_nome,cod_mun_a,nome_a,uf_a,cod_mun_b,nome_b,uf_b,dist_socio,dist_rqual,divergencia,indicador_dominante,divergencia_ponderada,IND2_a,IND4_a,IND5_a,IND8_a,IND9_a,INF1_a,INF4-UP_a,IND2_b,IND4_b,IND5_b,IND8_b,IND9_b,INF1_b,INF4-UP_b
767,2,C2: Nordeste Vulnerável,2102101,Brejo,MA,2110609,São Bernardo,MA,0.8441577371433501,5.947551372781561,7.045545049273223,IND5,0.5136402561575785,-0.3849379398527588,0.3244470206450588,-0.3224879657897952,-1.3905111732828055,0.585011323613518,0.2829056654854893,-0.7305467672242166,-0.4827904067563631,0.0426955715004635,0.5620956639949407,-0.322961933454297,-5.739496156566318,1.1766550187095786,0.6669618787371362
768,1,C1: Intermediário,5203962,Buritinópolis,GO,5221452,Trombas,GO,1.4753276293092095,10.39197659918451,7.043843269583778,IND5,1.5117028979477292,0.1723534239527817,0.6955398102826086,0.6797526984866221,-4.20162937971753,-0.948894953379424,-1.7196417421393082,1.9688456546098376,-0.7063540584718403,0.6838530239680704,-1.8904732153044024,0.4424137342445092,0.4491361850979912,0.0986572772311601,-0.6975110029842224
769,2,C2: Nordeste Vulnerável,2403400,Equador,RN,2510303,Nova Palmeira,PB,0.9067541584257689,6.385961717895524,7.042660517752286,IND2,0.148591151335138,4.274661089234527,0.4118665670625789,-1.5780866626266865,-0.7685446835710917,-1.414501753450096,1.7436457375174097,0.6028409922292816,-0.3160134924022892,0.5278228689209803,-1.6243780544558464,0.4554180090195955,1.2620430365130726,-0.0778976815075779,-0.3230479254120867
770,1,C1: Intermediário,3528007,Macatuba,SP,4319752,São Vendelino,RS,1.228833094000159,8.649153275024794,7.03850938765909,INF4-UP,0.35228733474089735,-0.4546473001393534,0.5854736379993273,0.7476661423577757,0.401955795635264,0.7522431293032693,-1.0171420406376976,-0.6789014738168591,4.274661089234527,0.567068009400968,0.9071028443965762,0.2494837430110005,-3.565921520199318,1.89208317231444,2.019939675307429
771,1,C1: Intermediário,3504305,Avaí,SP,4107553,Farol,PR,1.3698901050588002,9.635189696922945,7.033549373273137,IND5,0.41092123255417895,3.587866149474454,0.6791108093057653,0.8485373016734638,-4.20162937971753,0.1713501970768531,-0.6856442198717966,-0.3825670111145817,0.6296017152582444,-0.609314405203571,0.1498812351464166,0.2813027831700664,-0.0611040845912616,-0.5426892481147056,-0.7144650459440796
772,1,C1: Intermediário,3153004,Pratinha,MG,3159902,Santo Antônio do Amparo,MG,1.5242631416373793,10.720457963114171,7.0332068415463596,IND5,1.0876711252139275,-0.3499581286776154,-1.2189132642893308,-1.7184998564080145,-4.20162937971753,-0.4397033364401437,0.5235077281258746,2.699865836896199,2.258367895357516,0.3172505939814125,0.1307792019984355,0.4287430232705406,1.21371621256934,0.2765510965850992,-0.6373162479109895
773,1,C1: Intermediário,3129905,Ibitiúra de Minas,MG,3162906,São João Nepomuceno,MG,1.3233111017842647,9.30690297931322,7.033042313127554,IND5,0.3786668655978645,0.7391027436718803,0.2484858390074621,0.9155307520342064,-4.20162937971753,-0.0135018052482852,0.8202575669176154,1.6705961621387273,-0.388513784637425,0.0762414270760665,0.2717141714250535,0.5117257295951286,0.3568775735803715,0.4509075345885182,-0.7105210577503344
774,1,C1: Intermediário,5203962,Buritinópolis,GO,5219605,Santa Tereza de Goiás,GO,1.384060739846518,9.732489897357604,7.031837267058834,IND5,0.6976118036155861,0.1723534239527817,0.6955398102826086,0.6797526984866221,-4.20162937971753,-0.948894953379424,-1.7196417421393082,1.9688456546098376,-1.0072941900615695,0.7234376455746003,-0.5063401097321475,0.5775439039436369,0.4212143856752178,-1.1844964189578189,-0.6893272882711683
775,1,C1: Intermediário,3533700,Ocauçu,SP,4202099,Barra Bonita,SC,0.9024775752047686,6.343093740944217,7.02853334884965,IND4,0.5848313073365062,0.6511166690368639,0.8778117780188632,-0.7555674297595246,0.4258716965481926,1.0396855161965688,-0.920019491716944,-0.7321191751765113,1.3407099936909477,-3.2694727311278,-0.1234675996656461,0.6180091499672824,-0.8362705210216228,1.706990960340823,-0.1955288463753348
776,1,C1: Intermediário,3110202,Cajuri,MG,3140605,Materlândia,MG,1.2764866744325556,8.970352659272567,7.02737665180315,IND5,0.8747879962215882,-0.4356273832987553,0.5736933677408238,0.5101385341581864,0.2679146255552324,-0.4614244547283619,0.2054536151860562,-0.3535407351805206,0.4873163565009459,1.222921522681805,-0.9771925942099982,-4.20162937971753,0.1596400358125539,-0.713157319116475,-0.7671933961175473
777,2,C2: Nordeste Vulnerável,2505709,Dona Inês,PB,2514305,São José de Caiana,PB,1.0579066035222868,7.432771086917023,7.0259237017178835,IND5,1.7654948385232456,2.753530347619551,-0.1372653726905587,-2.054645293091584,0.509829017097557,1.2791016810830913,1.4867424226224275,-0.6302697210920056,-0.5990712619863844,1.0311185439252848,0.985863728358616,0.4395565351901519,-1.094406031889013,-1.723540011509525,3.131133164894432
